index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
27;2800501021;Alcalá de Henares;ktbvF|`oS@LNv@Tt@f@`B^jAV~@^hAZ`AVl@DLL^CJ?LBHG`@Qh@Sl@Qd@KTGJQ[i@e@e@a@KKGIUeAC]Ok@Oc@M_@{@oC]eAk@qBEYjCmB`@Y;((ktbvF|`oS@LNv@Tt@f@`B^jAV~@^hAZ`AVl@DLL^CJ?LBHG`@Qh@Sl@Qd@KTGJQ[i@e@e@a@KKGIUeAC]Ok@Oc@M_@{@oC]eAk@qBEYjCmB`@Y));((ktbvF%7C%60oS%40LNv%40Tt%40f%40%60B%5EjAV~%40%5EhAZ%60AVl%40DLL%5ECJ%3FLBHG%60%40Qh%40Sl%40Qd%40KTGJQ%5Bi%40e%40e%40a%40KKGIUeAC%5DOk%40Oc%40M_%40%7B%40oC%5DeAk%40qBEYjCmB%60%40Y))
28;2800501022;Alcalá de Henares;g~bvFftoSZQn@_@RSV_@Hi@Js@z@w@RSz@nCL^Nb@Nj@B\TdAFHJJd@`@h@d@PZMNQLyB|AaAl@_Ar@w@f@cAeD]mA]eAW{@[}@n@_@;((g~bvFftoSZQn@_@RSV_@Hi@Js@z@w@RSz@nCL^Nb@Nj@B\TdAFHJJd@`@h@d@PZMNQLyB|AaAl@_Ar@w@f@cAeD]mA]eAW{@[}@n@_@));((g~bvFftoSZQn%40_%40RSV_%40Hi%40Js%40z%40w%40RSz%40nCL%5ENb%40Nj%40B%5CTdAFHJJd%40%60%40h%40d%40PZMNQLyB%7CAaAl%40_Ar%40w%40f%40cAeD%5DmA%5DeAW%7B%40%5B%7D%40n%40_%40))
29;2800501023;Alcalá de Henares;oobvFtzoSFKJUPe@Rm@Pi@Fa@CI?MBKNKJ@JHBLAJGHCDj@nBNh@l@hBp@zBn@rBLn@i@Zw@b@o@\YPKFGDEFKNGKQa@EKwBjBs@}@^[HE@GCMMm@c@{Ac@kBGOG[I[xB}APMLO;((oobvFtzoSFKJUPe@Rm@Pi@Fa@CI?MBKNKJ@JHBLAJGHCDj@nBNh@l@hBp@zBn@rBLn@i@Zw@b@o@\YPKFGDEFKNGKQa@EKwBjBs@}@^[HE@GCMMm@c@{Ac@kBGOG[I[xB}APMLO));((oobvFtzoSFKJUPe%40Rm%40Pi%40Fa%40CI%3FMBKNKJ%40JHBLAJGHCDj%40nBNh%40l%40hBp%40zBn%40rBLn%40i%40Zw%40b%40o%40%5CYPKFGDEFKNGKQa%40EKwBjBs%40%7D%40%5E%5BHE%40GCMMm%40c%40%7BAc%40kBGOG%5BI%5BxB%7DAPMLO))
30;2800501024;Alcalá de Henares;itbvFp~oSHZFZFNb@jBb@zALl@BLAFID_@Zr@|@vBkBDJP`@FJKPS\a@t@Ud@MZCNO`@Sl@YbACFABEPGNACCACAE?E@q@_CUw@GKi@kBWy@EM_@qAa@qAa@oAv@g@~@s@`Am@;((itbvFp~oSHZFZFNb@jBb@zALl@BLAFID_@Zr@|@vBkBDJP`@FJKPS\a@t@Ud@MZCNO`@Sl@YbACFABEPGNACCACAE?E@q@_CUw@GKi@kBWy@EM_@qAa@qAa@oAv@g@~@s@`Am@));((itbvFp~oSHZFZFNb%40jBb%40zALl%40BLAFID_%40Zr%40%7C%40vBkBDJP%60%40FJKPS%5Ca%40t%40Ud%40MZCNO%60%40Sl%40YbACFABEPGNACCACAE%3FE%40q%40_CUw%40GKi%40kBWy%40EM_%40qAa%40qAa%40oAv%40g%40~%40s%40%60Am%40))
31;2800502001;Alcalá de Henares;m|`vF|uqS\h@bB|B~@pAn@|@p@z@r@~@TPXb@m@~@?Dy@nAMNk@j@]TQH_@iBU_A]sAWmAI]Ms@UcAE]S{@KQ??CUE]A_@BUFYHI;((m|`vF|uqS\h@bB|B~@pAn@|@p@z@r@~@TPXb@m@~@?Dy@nAMNk@j@]TQH_@iBU_A]sAWmAI]Ms@UcAE]S{@KQ??CUE]A_@BUFYHI));((m%7C%60vF%7CuqS%5Ch%40bB%7CB~%40pAn%40%7C%40p%40z%40r%40~%40TPXb%40m%40~%40%3FDy%40nAMNk%40j%40%5DTQH_%40iBU_A%5DsAWmAI%5DMs%40UcAE%5DS%7B%40KQ%3F%3FCUE%5DA_%40BUFYHI))
32;2800502002;Alcalá de Henares;ep`vFferSPPb@r@z@hARZp@bAh@v@dAbBNTaBxBe@w@_BiCm@}@c@j@mAbBQNKHKDQHWkAm@wCPI\Uj@k@LOx@oA?El@_A;((ep`vFferSPPb@r@z@hARZp@bAh@v@dAbBNTaBxBe@w@_BiCm@}@c@j@mAbBQNKHKDQHWkAm@wCPI\Uj@k@LOx@oA?El@_A));((ep%60vFferSPPb%40r%40z%40hARZp%40bAh%40v%40dAbBNTaBxBe%40w%40_BiCm%40%7D%40c%40j%40mAbBQNKHKDQHWkAm%40wCPI%5CUj%40k%40LOx%40oA%3FEl%40_A))
33;2800502003;Alcalá de Henares;oi`vFbvrSs@|@y@bAi@r@u@~@IHIDWHm@oCCMOu@e@aCPIJEJIPOlAcBb@k@l@|@~AhCd@v@;((oi`vFbvrSs@|@y@bAi@r@u@~@IHIDWHm@oCCMOu@e@aCPIJEJIPOlAcBb@k@l@|@~AhCd@v@));((oi%60vFbvrSs%40%7C%40y%40bAi%40r%40u%40~%40IHIDWHm%40oCCMOu%40e%40aCPIJEJIPOlAcBb%40k%40l%40%7C%40~AhCd%40v%40))
34;2800502004;Alcalá de Henares;{a`vFxwrSn@p@l@z@BBBFFLTn@X|@L^@DFTeC`Bw@f@y@j@]aAg@{A_Ar@e@sAM_@M]EMAMr@_@dAq@l@c@XWXWt@i@;(({a`vFxwrSn@p@l@z@BBBFFLTn@X|@L^@DFTeC`Bw@f@y@j@]aAg@{A_Ar@e@sAM_@M]EMAMr@_@dAq@l@c@XWXWt@i@));((%7Ba%60vFxwrSn%40p%40l%40z%40BBBFFLTn%40X%7C%40L%5E%40DFTeC%60Bw%40f%40y%40j%40%5DaAg%40%7BA_Ar%40e%40sAM_%40M%5DEMAMr%40_%40dAq%40l%40c%40XWXWt%40i%40))
35;2800502005;Alcalá de Henares;mj`vFh~rS@LDLL\L^d@rA~@s@f@zA\`AwA`AkDzB]NSeAKm@Mm@s@kD^QNINMPKXWNMDGp@s@;((mj`vFh~rS@LDLL\L^d@rA~@s@f@zA\`AwA`AkDzB]NSeAKm@Mm@s@kD^QNINMPKXWNMDGp@s@));((mj%60vFh~rS%40LDLL%5CL%5Ed%40rA~%40s%40f%40zA%5C%60AwA%60AkDzB%5DNSeAKm%40Mm%40s%40kD%5EQNINMPKXWNMDGp%40s%40))
36;2800502006;Alcalá de Henares;}c`vF`gsSx@k@v@g@dCaBZ`Ac@^qBlABFhBtFe@XyBtAwA`Aa@VwB~AiAgFMUKSGUOk@\OjD{BvAaA;((}c`vF`gsSx@k@v@g@dCaBZ`Ac@^qBlABFhBtFe@XyBtAwA`Aa@VwB~AiAgFMUKSGUOk@\OjD{BvAaA));((%7Dc%60vF%60gsSx%40k%40v%40g%40dCaBZ%60Ac%40%5EqBlABFhBtFe%40XyBtAwA%60Aa%40VwB~AiAgFMUKSGUOk%40%5COjD%7BBvAaA))
