index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
3995;2813401022;San Sebastián de los Reyes;mznvFfvcUDtCBjD_AHG?oAPc@LUcA]gAUmANI`By@x@a@nAk@;((mznvFfvcUDtCBjD_AHG?oAPc@LUcA]gAUmANI`By@x@a@nAk@));((mznvFfvcUDtCBjD_AHG%3FoAPc%40LUcA%5DgAUmANI%60By%40x%40a%40nAk%40))
3996;2813401023;San Sebastián de los Reyes;ibovFxzcUTlA\fATbAWHe@CW?q@@cAl@aBv@oAmDl@oABj@B\j@WhAm@r@]p@]`@Q;((ibovFxzcUTlA\fATbAWHe@CW?q@@cAl@aBv@oAmDl@oABj@B\j@WhAm@r@]p@]`@Q));((ibovFxzcUTlA%5CfATbAWHe%40CW%3Fq%40%40cAl%40aBv%40oAmDl%40oABj%40B%5Cj%40WhAm%40r%40%5Dp%40%5D%60%40Q))
3997;2813401024;San Sebastián de los Reyes;ggovFxucUd@BzADn@D^Qj@[hAk@z@e@@FFXDPBRBR?PANoAj@y@`@aBx@OHa@Pq@\s@\iAl@k@VC]Ck@m@nAk@oASg@aAsCO[vESnA@;((ggovFxucUd@BzADn@D^Qj@[hAk@z@e@@FFXDPBRBR?PANoAj@y@`@aBx@OHa@Pq@\s@\iAl@k@VC]Ck@m@nAk@oASg@aAsCO[vESnA@));((ggovFxucUd%40BzADn%40D%5EQj%40%5BhAk%40z%40e%40%40FFXDPBRBR%3FPANoAj%40y%40%60%40aBx%40OHa%40Pq%40%5Cs%40%5CiAl%40k%40VC%5DCk%40m%40nAk%40oASg%40aAsCO%5BvESnA%40))
3998;2813401025;San Sebastián de los Reyes;w`ovF|adU@jD`@Bz@@t@Dx@E\@j@DGnBAV?lAE`BeDy@_AQ_@KKIm@Ia@Oi@QSIO]Qa@}AuD`Bw@bAm@p@AV?d@B;((w`ovF|adU@jD`@Bz@@t@Dx@E\@j@DGnBAV?lAE`BeDy@_AQ_@KKIm@Ia@Oi@QSIO]Qa@}AuD`Bw@bAm@p@AV?d@B));((w%60ovF%7CadU%40jD%60%40Bz%40%40t%40Dx%40E%5C%40j%40DGnBAV%3FlAE%60BeDy%40_AQ_%40KKIm%40Ia%40Oi%40QSIO%5DQa%40%7DAuD%60Bw%40bAm%40p%40AV%3Fd%40B))
3999;2813401026;San Sebastián de los Reyes;meovFvldURHh@P`@Nl@HJHCp@If@ARKj@Mx@G\Gb@Gr@Cj@CVCV?VAf@AZAn@kAA{ACkAAW?F}@Ds@De@B]Fk@Fk@He@Jg@H]L[Pg@\o@P_@N]\}@;((meovFvldURHh@P`@Nl@HJHCp@If@ARKj@Mx@G\Gb@Gr@Cj@CVCV?VAf@AZAn@kAA{ACkAAW?F}@Ds@De@B]Fk@Fk@He@Jg@H]L[Pg@\o@P_@N]\}@));((meovFvldURHh%40P%60%40Nl%40HJHCp%40If%40ARKj%40Mx%40G%5CGb%40Gr%40Cj%40CVCV%3FVAf%40AZAn%40kAA%7BACkAAW%3FF%7D%40Ds%40De%40B%5DFk%40Fk%40He%40Jg%40H%5DL%5BPg%40%5Co%40P_%40N%5D%5C%7D%40))
4000;2813401027;San Sebastián de los Reyes;s`ovFvndU^J~@PdDx@`B^`@J@?^PJw@v@d@`Al@\RfDhCp@h@ZT@?A@WPEBA@??a@XCB[ZSRQPKNKLOPORGHKP???@INEJCHABABIZABOl@ELCNCDCNA@GTAD?B??A???EDQJ]Nm@Vw@X_@NQF????G@a@J`@KDAESa@qAy@cC_AqCqCBcB?I?@o@@[@g@?WBWBWBk@Fs@Fc@F]Ly@Jk@@SHg@Bq@;((s`ovFvndU^J~@PdDx@`B^`@J@?^PJw@v@d@`Al@\RfDhCp@h@ZT@?A@WPEBA@??a@XCB[ZSRQPKNKLOPORGHKP???@INEJCHABABIZABOl@ELCNCDCNA@GTAD?B??A???EDQJ]Nm@Vw@X_@NQF????G@a@J`@KDAESa@qAy@cC_AqCqCBcB?I?@o@@[@g@?WBWBWBk@Fs@Fc@F]Ly@Jk@@SHg@Bq@));((s%60ovFvndU%5EJ~%40PdDx%40%60B%5E%60%40J%40%3F%5EPJw%40v%40d%40%60Al%40%5CRfDhCp%40h%40ZT%40%3FA%40WPEBA%40%3F%3Fa%40XCB%5BZSRQPKNKLOPORGHKP%3F%3F%3F%40INEJCHABABIZABOl%40ELCNCDCNA%40GTAD%3FB%3F%3FA%3F%3F%3FEDQJ%5DNm%40Vw%40X_%40NQF%3F%3F%3F%3FG%40a%40J%60%40KDAESa%40qAy%40cC_AqCqCBcB%3FI%3F%40o%40%40%5B%40g%40%3FWBWBWBk%40Fs%40Fc%40F%5DLy%40Jk%40%40SHg%40Bq%40))
4001;2813401028;San Sebastián de los Reyes;gcovFh`eUH?bB?pCC~@pCx@bC`@pADRE@a@JYHYJSJA@IFA@ONm@r@ABGFABCBY\SVA@GHC????@A?ILCBSNGFKJC?IDA@KFCBKBKD??MHCBCYY_Ds@oJQiCjA@;((gcovFh`eUH?bB?pCC~@pCx@bC`@pADRE@a@JYHYJSJA@IFA@ONm@r@ABGFABCBY\SVA@GHC????@A?ILCBSNGFKJC?IDA@KFCBKBKD??MHCBCYY_Ds@oJQiCjA@));((gcovFh%60eUH%3FbB%3FpCC~%40pCx%40bC%60%40pADRE%40a%40JYHYJSJA%40IFA%40ONm%40r%40ABGFABCBY%5CSVA%40GHC%3F%3F%3F%3F%40A%3FILCBSNGFKJC%3FIDA%40KFCBKBKD%3F%3FMHCBCYY_Ds%40oJQiCjA%40))
4002;2813401029;San Sebastián de los Reyes;skovF``eUV?jA@zABPhCr@nJX~CBXEDA?AB??ST_@b@GHC@a@f@IJEDGDEDABC@A?C@A@A?A?C?A@C?O???CAG?AAA?MGA?C?G@A?A?A?G@A?C@??EBCBABIFOJ??A@A?A@A?A?G@O@G@G@ODUDQFMBMFKDi@RSJGBOHE@?@k@iBTo@H]Ni@`@yAJs@LyB@M@K@O@KB]@ADODIN_@T_@r@iABIBGDSJk@Fk@@YBc@B[D];((skovF``eUV?jA@zABPhCr@nJX~CBXEDA?AB??ST_@b@GHC@a@f@IJEDGDEDABC@A?C@A@A?A?C?A@C?O???CAG?AAA?MGA?C?G@A?A?A?G@A?C@??EBCBABIFOJ??A@A?A@A?A?G@O@G@G@ODUDQFMBMFKDi@RSJGBOHE@?@k@iBTo@H]Ni@`@yAJs@LyB@M@K@O@KB]@ADODIN_@T_@r@iABIBGDSJk@Fk@@YBc@B[D]));((skovF%60%60eUV%3FjA%40zABPhCr%40nJX~CBXEDA%3FAB%3F%3FST_%40b%40GHC%40a%40f%40IJEDGDEDABC%40A%3FC%40A%40A%3FA%3FC%3FA%40C%3FO%3F%3F%3FCAG%3FAAA%3FMGA%3FC%3FG%40A%3FA%3FA%3FG%40A%3FC%40%3F%3FEBCBABIFOJ%3F%3FA%40A%3FA%40A%3FA%3FG%40O%40G%40G%40ODUDQFMBMFKDi%40RSJGBOHE%40%3F%40k%40iBTo%40H%5DNi%40%60%40yAJs%40LyB%40M%40K%40O%40KB%5D%40ADODIN_%40T_%40r%40iABIBGDSJk%40Fk%40%40YBc%40B%5BD%5D))
4003;2813401030;San Sebastián de los Reyes;i`pvFxbeUf@c@\Yf@o@nAiBLFHBH?J?FC?Ab@`IN`CHjBFbAFtARzBD\DT`@nBQNiB@iEBG?Q?I???MAS?MAa@AI?OCGAC?SC_@EGACAME_@KSGMCICIEA?SGMEEAKE[K]McAcCw@mAw@qAqAiCRQRUTQj@e@x@K`@Ch@GrAOhCa@TKXK\O\QLGTQXO;((i`pvFxbeUf@c@\Yf@o@nAiBLFHBH?J?FC?Ab@`IN`CHjBFbAFtARzBD\DT`@nBQNiB@iEBG?Q?I???MAS?MAa@AI?OCGAC?SC_@EGACAME_@KSGMCICIEA?SGMEEAKE[K]McAcCw@mAw@qAqAiCRQRUTQj@e@x@K`@Ch@GrAOhCa@TKXK\O\QLGTQXO));((i%60pvFxbeUf%40c%40%5CYf%40o%40nAiBLFHBH%3FJ%3FFC%3FAb%40%60IN%60CHjBFbAFtARzBD%5CDT%60%40nBQNiB%40iEBG%3FQ%3FI%3F%3F%3FMAS%3FMAa%40AI%3FOCGAC%3FSC_%40EGACAME_%40KSGMCICIEA%3FSGMEEAKE%5BK%5DMcAcCw%40mAw%40qAqAiCRQRUTQj%40e%40x%40K%60%40Ch%40GrAOhCa%40TKXK%5CO%5CQLGTQXO))
4004;2813401031;San Sebastián de los Reyes;appvFl|cUr@NlCd@LB~Bb@|@P??n@L\Df@Bf@AxAMp@M~@Ur@MbA_@hAQn@QxASRf@j@nAq@rAm@hAw@zAc@~@Wd@Qd@O`@gBbGw@~BOCI?K?IFMJg@c@QOUYQQY_@[g@]i@wAwBwBwAQKYGa@G_ACsBGc@Cc@CUCME]MHg@De@TcBNaALy@Fk@Jm@Ho@;((appvFl|cUr@NlCd@LB~Bb@|@P??n@L\Df@Bf@AxAMp@M~@Ur@MbA_@hAQn@QxASRf@j@nAq@rAm@hAw@zAc@~@Wd@Qd@O`@gBbGw@~BOCI?K?IFMJg@c@QOUYQQY_@[g@]i@wAwBwBwAQKYGa@G_ACsBGc@Cc@CUCME]MHg@De@TcBNaALy@Fk@Jm@Ho@));((appvFl%7CcUr%40NlCd%40LB~Bb%40%7C%40P%3F%3Fn%40L%5CDf%40Bf%40AxAMp%40M~%40Ur%40MbA_%40hAQn%40QxASRf%40j%40nAq%40rAm%40hAw%40zAc%40~%40Wd%40Qd%40O%60%40gBbGw%40~BOCI%3FK%3FIFMJg%40c%40QOUYQQY_%40%5Bg%40%5Di%40wAwBwBwAQKYGa%40G_ACsBGc%40Cc%40CUCME%5DMHg%40De%40TcBNaALy%40Fk%40Jm%40Ho%40))
